,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
12,2014-10-01,815707.7711885786,790284.2206370472,847248.5477406761,815707.7711885786,815707.7711885786,4005.5521846866654,4005.5521846866654,4005.5521846866654,4005.5521846866654,4005.5521846866654,4005.5521846866654,0.0,0.0,0.0,819713.3233732652
13,2014-11-01,824840.3703701567,794590.9379306925,854644.3027529647,824840.3703701567,824840.3703701567,-1364.1032469565523,-1364.1032469565523,-1364.1032469565523,-1364.1032469565523,-1364.1032469565523,-1364.1032469565523,0.0,0.0,0.0,823476.2671232001
14,2014-12-01,833684.3528065901,799286.4813252599,863374.0481207215,833684.3528065901,833684.3528065901,-3112.431017121946,-3112.431017121946,-3112.431017121946,-3112.431017121946,-3112.431017121946,-3112.431017121946,0.0,0.0,0.0,830571.9217894681
15,2015-01-01,842823.1346575712,809796.6082154682,870804.985999747,842823.1346575712,842823.1346575712,-1123.710232289195,-1123.710232289195,-1123.710232289195,-1123.710232289195,-1123.710232289195,-1123.710232289195,0.0,0.0,0.0,841699.424425282
16,2015-02-01,851961.9165085524,819470.811658617,878987.2918874566,851961.9165085524,851961.9165085524,-4796.511322645952,-4796.511322645952,-4796.511322645952,-4796.511322645952,-4796.511322645952,-4796.511322645952,0.0,0.0,0.0,847165.4051859064
17,2015-03-01,860217.0057625492,819877.8198518847,881358.0116474611,860217.0057625491,860217.0057625491,-9055.732375952099,-9055.732375952099,-9055.732375952099,-9055.732375952099,-9055.732375952099,-9055.732375952099,0.0,0.0,0.0,851161.2733865972
18,2015-04-01,869356.5688651885,836197.2630766161,895504.8830152812,869356.5688651885,869356.5688651885,-3887.7112195549316,-3887.7112195549316,-3887.7112195549316,-3887.7112195549316,-3887.7112195549316,-3887.7112195549316,0.0,0.0,0.0,865468.8576456336
19,2015-05-01,878201.3073516134,848219.9203410847,907247.2644107979,878201.3073516134,878201.3073516134,-1306.6956155051942,-1306.6956155051942,-1306.6956155051942,-1306.6956155051942,-1306.6956155051942,-1306.6956155051942,0.0,0.0,0.0,876894.6117361082
20,2015-06-01,887340.8704520613,863853.7619840235,925083.6777928112,887340.8704520613,887340.8704520613,8567.266092796548,8567.266092796548,8567.266092796548,8567.266092796548,8567.266092796548,8567.266092796548,0.0,0.0,0.0,895908.1365448579
21,2015-07-01,896185.6089363656,872179.2570869736,936523.0566350444,896185.6089363656,896185.6089363656,8309.997490213489,8309.997490213489,8309.997490213489,8309.997490213489,8309.997490213489,8309.997490213489,0.0,0.0,0.0,904495.6064265791
22,2015-08-01,905325.1720472511,887235.1796298849,947265.6854252294,905325.1720472511,905325.1720472511,11342.758019341538,11342.758019341538,11342.758019341538,11342.758019341538,11342.758019341538,11342.758019341538,0.0,0.0,0.0,916667.9300665926
23,2015-09-01,914464.7351581367,880221.9957798648,940766.7383100956,914464.7351581367,914464.7351581367,-4511.035923469463,-4511.035923469463,-4511.035923469463,-4511.035923469463,-4511.035923469463,-4511.035923469463,0.0,0.0,0.0,909953.6992346672
24,2015-10-01,923309.473652542,892522.0058703553,952238.7608055661,923309.473652542,923309.473652542,-808.2686901547318,-808.2686901547318,-808.2686901547318,-808.2686901547318,-808.2686901547318,-808.2686901547318,0.0,0.0,0.0,922501.2049623872
25,2015-11-01,932449.0367515293,906110.7158462396,971692.1820208012,932449.0367515293,932449.0367515293,4682.980904536593,4682.980904536593,4682.980904536593,4682.980904536593,4682.980904536593,4682.980904536593,0.0,0.0,0.0,937132.0176560659
26,2015-12-01,941293.77523442,912434.2533645646,975016.5220581886,941293.7752344199,941293.7752344199,1797.0636086134314,1797.0636086134314,1797.0636086134314,1797.0636086134314,1797.0636086134314,1797.0636086134314,0.0,0.0,0.0,943090.8388430334
27,2016-01-01,950433.3383334071,919532.0891987566,980403.367390544,950433.3383334071,950433.3383334071,-215.25492059908356,-215.25492059908356,-215.25492059908356,-215.25492059908356,-215.25492059908356,-215.25492059908356,0.0,0.0,0.0,950218.083412808
