Date,Export_Price_index,Import_Price_Index,Consumer_Price_Index,Employees,Industrial_Production,Material_Supply_Textile,Retail_Sales
2009-01-01,103.9,100,117.967,1396.1,105.3018,1276,17159
2009-02-01,102.4,100,119.888,1392.8,100.3861,1270,17401
2009-03-01,101.2,100,120.368,1375.8,98.1151,1238,16510
2009-04-01,101.1,99.8,120.182,1367.9,98.0532,1203,16900
2009-05-01,102.8,99.6,120.038,1370,96.1585,1185,17038
2009-06-01,101.9,99.5,120.276,1366.4,97.0875,1165,16817
2009-07-01,103.2,99.7,119.984,1362.8,93.91,1155,17015
2009-08-01,102.9,99.7,120.236,1358.7,96.2009,1144,17233
2009-09-01,103.4,99.6,120.779,1353.7,95.886,1138,17172
2009-10-01,105.5,99.6,120.5,1347.8,99.3387,1139,17296
2009-11-01,109.1,99.4,120.007,1348.4,102.2855,1131,17105
2009-12-01,109.2,97.6,120.441,1332.6,101.9027,1126,17127
2010-01-01,109.6,98.2,119.91,1355.8,102.2186,1124,17346
2010-02-01,109.3,98.2,120.184,1358.3,103.1244,1131,17362
2010-03-01,112.4,98.2,120.225,1367.3,103.6503,1145,17880
2010-04-01,113.9,98.5,119.646,1370.2,104.5404,1160,17728
2010-05-01,114.2,98,119.648,1363.3,106.5108,1169,17612
2010-06-01,115.7,98.3,119.623,1362.1,105.7667,1186,17532
2010-07-01,115.8,98.9,119.322,1357.8,107.3254,1206,17552
2010-08-01,117.2,99.1,118.96,1349.7,107.2098,1222,17672
2010-09-01,120.7,99.2,119.21,1348.7,106.7234,1235,17670
2010-10-01,125.3,99.7,118.917,1357.3,105.7717,1246,17984
2010-11-01,137.4,100.2,119.027,1345.3,104.9038,1254,18510
2010-12-01,143.4,100.8,119.223,1327.3,106.7539,1263,18212
2011-01-01,146.3,101.8,119.82,1347.7,103.6897,1284,18322
2011-02-01,156.7,102.6,119.904,1345.4,107.086,1279,18532
2011-03-01,164.8,102.8,119.739,1344,104.3971,1244,18719
2011-04-01,157.3,103.3,120.037,1351.3,105.786,1244,18923
2011-05-01,154.4,103.9,121.146,1354.3,105.4486,1230,18864
2011-06-01,148.7,106.2,121.71,1360,104.4343,1227,19179
2011-07-01,144.7,107.2,122.547,1357.3,103.1307,1209,18975
2011-08-01,139.8,106.7,123.551,1365,101.1088,1188,18911
2011-09-01,137.7,106.7,123.244,1379.6,101.0015,1172,19508
2011-10-01,135.9,106.9,123.775,1379.9,100.244,1141,19086
2011-11-01,134.9,106.4,124.762,1379,99.872,1131,19370
2011-12-01,132.7,106.5,124.865,1379.2,100.9612,1113,19526
2012-01-01,132.9,106.8,125.399,1373.1,101.1731,1104,19615
2012-02-01,133.1,106.8,125.075,1379,101.7362,1106,20148
2012-03-01,131.2,106.6,125.85,1383.3,99.6484,1107,20035
2012-04-01,131.1,106.8,126.432,1379.3,99.9372,1119,19519
2012-05-01,128.9,106.2,126.663,1381.7,98.1284,1106,19679
2012-06-01,124.9,106,126.248,1378.2,100.537,1101,19874
2012-07-01,124.5,106.3,125.935,1376.4,99.172,1072,19741
2012-08-01,125.5,105.7,125.333,1376.8,99.3863,1062,19939
2012-09-01,126.3,105,126.386,1396.5,100.551,1053,20093
2012-10-01,125.3,104.6,127.291,1404.9,101.1548,1054,19935
2012-11-01,125.2,104.8,127.191,1437.2,99.2102,1051,20020
2012-12-01,126,104.8,127.289,1413.1,99.3653,1063,20168
2013-01-01,127.7,104.3,128.076,1408.3,101.7554,1077,20418
2013-02-01,129.9,104.3,128.134,1401.8,102.6821,1064,20299
2013-03-01,129.8,104,126.97,1391.7,103.3817,1066,20295
2013-04-01,130.1,103.9,126.905,1373.6,102.2118,1058,20477
2013-05-01,131,103.3,126.916,1379.9,103.089,1070,20356
2013-06-01,131.4,103.4,126.995,1387.5,104.3191,1069,20345
2013-07-01,132,103.1,127.645,1387.6,103.4306,1084,20553
2013-08-01,131.6,103,127.412,1389.3,104.5724,1095,20285
2013-09-01,132.4,103.1,127.281,1382.9,104.4465,1103,20273
2013-10-01,132,102.8,126.988,1371.9,103.9911,1121,20750
2013-11-01,131.5,102.8,127.333,1368.2,105.4456,1131,20233
2013-12-01,131.6,102.8,128.577,1410.2,104.6778,1153,20531
2014-01-01,135,102.7,127.882,1384.3,103.0735,1172,20467
2014-02-01,135.9,102.2,127.279,1377.8,101.7586,1181,20503
2014-03-01,136.9,102.7,127.439,1373.2,105.9146,1188,20612
2014-04-01,135.8,103,127.475,1383.2,105.8884,1209,21112
2014-05-01,135.4,103,127.773,1378.4,105.5934,1208,20698
2014-06-01,132.5,102.9,127.982,1370.4,106.4568,1203,20727
2014-07-01,131.3,102.9,127.942,1369.5,107.9754,1217,20864
2014-08-01,129.7,102.9,127.357,1370.7,107.0293,1207,20982
2014-09-01,128.8,103.9,127.813,1355.5,106.6206,1221,20764
2014-10-01,127.3,103.9,127.761,1354.4,106.0619,1232,21059
2014-11-01,125.7,104,127.254,1372.6,107.0547,1243,21310
2014-12-01,124.9,103.9,126.637,1372.5,105.8242,1244,21232
2015-01-01,124.2,103.9,126.129,1352.7,103.2084,1238,20943
2015-02-01,123.2,103.9,125.96,1348.7,103.791,1248,21207
2015-03-01,122.4,104.3,126.626,1350.7,103.2963,1248,21310
2015-04-01,122.7,104.2,126.39,1343.3,102.6519,1237,21351
2015-05-01,122,104.3,125.831,1351.3,102.5071,1209,21544
2015-06-01,122.2,104.2,125.51,1354.9,101.3509,1234,21290
2015-07-01,122.5,104.1,125.689,1355,99.943,1243,21430
2015-08-01,122.6,104.1,126.166,1358.9,99.1794,1266,21496
2015-09-01,121.9,104,126.011,1346.9,98.9535,1280,21345
2015-10-01,121,104,125.323,1375.6,98.8481,1290,21116
2015-11-01,120.1,104,125.724,1371,98.3106,1299,21284
2015-12-01,120.7,104,126.042,1356.9,98.637,1314,21390
2016-01-01,120.3,103.9,124.999,1357.4,100.5673,1303,21211
2016-02-01,119.8,103.9,125.898,1356,98.9203,1294,21864
2016-03-01,118.7,103.7,125.843,1352.9,98.8104,1288,21413
2016-04-01,119.3,103.7,125.782,1352.3,97.4522,1274,21327
2016-05-01,119.4,103.5,126.707,1351.6,98.3773,1258,21489
2016-06-01,119.5,103.4,126.276,1351.8,98.2481,1258,21585
2016-07-01,120.6,103.4,125.881,1360.8,99.0424,1232,21346
2016-08-01,119.8,103.5,126.148,1364.4,97.9818,1221,21716
2016-09-01,120,103.6,125.914,1372.4,99.8507,1214,21792
2016-10-01,119.6,103.7,126.521,1369.6,99.8544,1199,21617
2016-11-01,119.4,103.7,126.605,1356.9,100.417,1192,21516
2016-12-01,119.6,103.7,126.185,1373.9,98.0946,1179,21826
2017-01-01,121,103.9,126.077,1395.5,100.5292,1176,21863
2017-02-01,121.7,103.8,126.018,1386.6,99.3585,1169,21503
2017-03-01,121,103.8,126.606,1385.8,99.12,1153,21674
2017-04-01,121.1,103.8,126.498,1388,99.9953,1159,21669
2017-05-01,121,103.4,125.698,1381.5,99.6896,1171,21560
2017-06-01,120.2,103.5,125.616,1378.2,99.6678,1167,21710
2017-07-01,119.8,103.7,125.307,1368,99.6238,1179,21541
2017-08-01,120.1,103.9,125.339,1366.8,99.4433,1181,21724
2017-09-01,119.7,103.9,125.604,1362.2,99.9304,1181,21844
2017-10-01,119.7,103.6,125.705,1363.8,99.9417,1186,21770
2017-11-01,120.1,103.5,124.831,1352.5,98.9422,1189,22067
2017-12-01,120.7,103.5,124.169,1356.6,100.1563,1200,21768
2018-01-01,122.1,104,125.144,1358.1,101.0737,1201,21867
2018-02-01,122.4,104.1,126.205,1364.9,102.3184,1205,22426
2018-03-01,125.3,104,126.887,1365.3,100.8029,1207,21863
2018-04-01,125.4,104,127.583,1361.1,100.9283,1208,22103
2018-05-01,126.9,104,127.69,1368.7,99.991,1205,22966
2018-06-01,126,104.3,126.485,1367.1,100.7627,1202,22441
2018-07-01,124.7,104.1,125.57,1372.2,100.7291,1205,22686
2018-08-01,126.2,104,123.523,1352,102.272,1205,22168
2018-09-01,126,104.4,124.885,1350.8,100.7541,1206,22269
2018-10-01,124.6,104.5,125.232,1343.5,102.1589,1203,22643
2018-11-01,124.8,104.6,124.601,1343.1,100.7146,1213,22758
2018-12-01,124.9,104.6,124.147,1334.5,98.8304,1223,22223
2019-01-01,122.9,105.1,125.112,1332,99.5978,1245,22068
2019-02-01,123.5,104.8,124.974,1328,99.56,1249,21970
2019-03-01,123.3,104.7,123.998,1320.1,101.1819,1254,22338
2019-04-01,124.5,104.7,124.01,1313.1,100.011,1252,22245
2019-05-01,123.8,104.7,124.039,1299.1,99.144,1247,22150
2019-06-01,121.4,104.6,124.969,1293.8,99.5137,1244,22255
2019-07-01,121.1,105.4,124.813,1288.7,96.5153,1233,22407
2019-08-01,117.4,105.3,124.666,1283.2,97.6736,1235,22278
2019-09-01,117.3,105.1,124.385,1270.5,97.5714,1232,22249
2019-10-01,118.1,105.2,122.437,1266.5,97.0969,1237,22153
2019-11-01,119.1,105.3,122.843,1231,97.1476,1228,22036
2019-12-01,119.2,105.5,122.602,1273.1,96.6176,1209,22655
2020-01-01,121.5,105.3,123.344,1272.7,97.9058,1217,22508
2020-02-01,120.8,105.4,123.701,1270.6,97.6128,1212,22135
2020-03-01,119.1,105.1,121.943,1240.9,93.1705,1206,11362
2020-04-01,115.5,105.2,117.071,489.7,70.3032,1213,3013
2020-05-01,116.4,105.3,114.423,576.1,78.822,1202,8440
2020-06-01,116.6,105.2,115.996,809.2,83.2629,1194,16857
2020-07-01,117.5,105,116.782,921,85.8618,1192,17306
2020-08-01,116.8,104.9,117.223,930.9,88.4284,1185,17792
2020-09-01,118,104.8,116.788,959.4,92.2333,1189,20526
2020-10-01,118.3,105,115.757,977.9,91.9956,1192,19779
2020-11-01,119.3,104.8,116.528,966.8,90.3136,1189,18573
2020-12-01,119.7,104.7,117.577,978.4,92.7962,1180,19057
2021-01-01,122.2,105.1,120.178,993.2,93.9334,1183,21014
2021-02-01,124.7,105.1,119.287,965.1,93.9991,1181,20180
2021-03-01,126,105.3,118.949,987,96.4748,1202,24759
2021-04-01,125.2,105.3,119.335,997.2,96.5324,1199,23497
