,Date,Sold_Units,Retail_Sales (in USD)
221,2020-05-08,8698.0,1304700.0
222,2020-05-09,4160.0,624000.0
223,2020-05-10,2648.0,397200.0
224,2020-05-11,9805.0,1470750.0
225,2020-05-12,10335.0,1550250.0
226,2020-05-13,8772.0,1315800.0
227,2020-05-14,8744.0,1311600.0
228,2020-05-15,8808.0,1321200.0
229,2020-05-16,4071.0,610650.0
230,2020-05-17,2178.0,326700.0
231,2020-05-18,10043.0,1506450.0
232,2020-05-19,10545.0,1581750.0
233,2020-05-20,8515.0,1277250.0
234,2020-05-21,8382.0,1257300.0
235,2020-05-22,8343.0,1251450.0
236,2020-05-23,3956.0,593400.0
237,2020-05-24,2451.0,367650.0
238,2020-05-25,10822.0,1623300.0
239,2020-05-26,11149.0,1672350.0
240,2020-05-27,8742.0,1311300.0
241,2020-05-28,8654.0,1298100.0
242,2020-05-29,8788.0,1318200.0
243,2020-05-30,4608.0,691200.0
244,2020-05-31,2646.0,396900.0
245,2020-06-01,10137.0,1520550.0
246,2020-06-02,11519.0,1727850.0
247,2020-06-03,9501.0,1425150.0
248,2020-06-04,9640.0,1446000.0
249,2020-06-05,9649.0,1447350.0
250,2020-06-06,4327.0,649050.0
251,2020-06-07,2709.0,406350.0
252,2020-06-08,10923.0,1638450.0
253,2020-06-09,11245.0,1686750.0
254,2020-06-10,9178.0,1376700.0
255,2020-06-11,9198.0,1379700.0
256,2020-06-12,9209.0,1381350.0
257,2020-06-13,4713.0,706950.0
258,2020-06-14,2679.0,401850.0
259,2020-06-15,11314.0,1697100.0
260,2020-06-16,11330.0,1699500.0
261,2020-06-17,9008.0,1351200.0
262,2020-06-18,8905.0,1335750.0
263,2020-06-19,8792.0,1318800.0
264,2020-06-20,4478.0,671700.0
265,2020-06-21,2469.0,370350.0
266,2020-06-22,11601.0,1740150.0
267,2020-06-23,11606.0,1740900.0
268,2020-06-24,8714.0,1307100.0
269,2020-06-25,8711.0,1306650.0
270,2020-06-26,8836.0,1325400.0
271,2020-06-27,4917.0,737550.0
272,2020-06-28,2475.0,371250.0
273,2020-06-29,11684.0,1752600.0
274,2020-06-30,11672.0,1750800.0
275,2020-07-01,9384.0,1407600.0
276,2020-07-02,9751.0,1462650.0
277,2020-07-03,9700.0,1455000.0
278,2020-07-04,4384.0,657600.0
279,2020-07-05,2682.0,402300.0
280,2020-07-06,12145.0,1821750.0
